0:00,Hey everyone my name is Greg Hogg and welcome to my channel today we'll be forecasting Microsoft
0:05,stock using LSTM neural networks this is a very important project to put on your resume
0:10,so i'd really highly recommend watching the video in its entirety i made it as clear and concise as
0:16,i possibly could so i really think you're going to find this useful enjoy the video i'll see you in
0:20,there. We first want to grab the dataset which we can get from this Yahoo Finance link here
0:26,which will bring us to Microsoft Corporation stock page we can scroll down and change the
0:31,time period from one year to max to get all of the information and then click apply we want to
0:37,download which will bring a csv to your computer we need to bring that csv into our environment
0:43,so in google collab we go here and then upload the file we can simply rename it by deleting
0:48,those extra characters and pressing enter so we will do import pandas as pd and make df equal to
0:57,dot read csv passing the file name of msft.csv close that and then outputting df 9082 rows
1:07,of stock information it goes all the way from the beginning 1986 all the way till now today
1:14,which is 2022 march 23rd if you're following along you might see a different date here
1:20,closer to your today notice that we don't trade stocks every single day there's a gap here 19
1:26,and 20 don't exist and many other pieces in the middle don't exist as well that is okay
1:31,looking at the different columns of the data set we have the date and on that date what the
1:36,stock opened at the highest value for that day the lowest value for that day what it closed at
1:43,the adjusted closing value and then the volume of stocks traded that day we're going to keep
1:48,things simple by just using the closing value so we'll have the date and what that value was
1:54,at the end of that date we're going to discard the other columns we can do that by doing df is equal
2:00,to df and just the name of those two columns which is date and then close we'll set that
2:07,and then outputting df we should see only those two different columns we currently have a problem
2:12,with our date column as it's actually not a date it's just a string that has the year then the
2:17,month then the day we can see this if we type df sub date we should see name of date except it's
2:24,a d type of object we want that to be a date we usually use this thing called date time so we will
2:31,import date time and then make a function so we will define a function called string to date time
2:40,which is going to take a string s which will be any of these strings here any string that looks
2:45,like this we're going to pass that to the function in s and it's going to return the associated date
2:50,time for that string so in this function we'll create a variable called split and set that
2:56,equal to the s dot split the hyphen which is the separator for each of these so a split is going to
3:03,be the list of the year and then the month and then the day we can extract those three pieces
3:09,year month and day equal to the split of zero split of one and split of two these objects are
3:18,actually strings right now we want to make them integers so we'll just wrap each of them in int
3:26,so we can just return the datetime.datetime and then pass the year equal to our year
3:34,the month equal to our month and the day equal to our day we'll now test out our function
3:40,by creating an object called date time underscore object equal to the string to date time so calling
3:48,our function and we'll pass the first day in our data set which happens to be 1986-03-19
3:56,if we output this date time object we should see that it outputs datetime.datetime of 1986 319 and
4:04,this is for the time but we don't need any of that now what we need to do is apply this function to
4:09,everything in our date column because we have in df this whole date column we want to make all of
4:15,these date strings actual date objects so we'll set df subdate equal to itself so df subdate dot
4:24,apply so we're applying a function to that column just the one that we made above we can pass string
4:30,to date time into this function note that we're not calling the function here we're passing the
4:35,function itself to the supply function now if we were to output our data frame column again df sub
4:42,date should now show us the following it looks like this is an error but this is just a warning
4:47,this is okay it looks like our column is the same as it was before but actually the d type is now
4:53,date time 64. this is just what pandas converts it to this is actually what we want our data frame
5:00,is almost ready we just have one more step if you look at df you can see that it's index this column
5:06,right here is actually integers we want to replace that column and make that date column the index we
5:12,can do that very easily by setting df.index equal to the df.pop which means we take away the column
5:21,and return it so df.pop passing the date and then outputting df we'll see that it did exactly what
5:29,we desired make that date column the index and then we just have the closing value as a column
5:34,now that we did that we can quickly plot our data using matplotlib if we do import matpotlib.pyplot
5:42,as plt we can do a plt.plot of the df.index and the df sub close what we can see is from 1986
5:52,all the way up until 2022 the stock goes absolutely crazy after it hits about 2016 or so
6:00,and then there's a little bit of a drop at the end now because we're using the lstm model we need to
6:05,convert this into a supervised learning problem we're going to do this by making a new function
6:11,we'll call it define df to windowed df it's going to take the data frame which will just pass df
6:18,it'll take a first date string and a last date string and then a positive integer we'll set
6:25,it equal to 3 by default this function is also going to need numpy so we're going to
6:31,import numpy as np now it turns out that this code is extremely difficult to write
6:37,so i'm going to just go in here and paste in the code if you need to know what that code is
6:42,make sure you go to the video description and check out the tutorial and look at it there
6:46,i also pasted in how to create this object called window df which is calling this function with
6:52,certain parameters i'll explain that very shortly i just need to show you the result of window df
6:58,window df is now a data frame where we have a target date column a target minus 3 minus 2 minus
7:05,1 and then the target these are all the stock closing values from before so this target date
7:11,corresponds to that value here if we look above at 3 18 it should be 0.099 so 0 3 18 let's take it
7:20,one more time for me to remember oh 3 18 is 0.099 why don't we have this row that row and that row
7:29,well that is all about what this windowed function is so this window data frame is converting a date
7:35,into getting its three previous values and then what it actually was so if we go back again 0.097
7:44,if we look at what .097 is that is three days before this is the target date
7:50,this is three days before if we were to look at target minus two this would be target minus two
7:56,for that date and this is target minus 1 and this is the target we have that for every single date
8:03,that it allows for so of course we couldn't have dates previous than this because we didn't have a
8:09,whole three values before it this was the first date that we could start with hence we actually
8:15,called that as the starting date there as the last date that's the last one we wanted which is
8:21,right here the three previous and then its target value right there the reason i started calling
8:27,it target is to think about this column as the output because that's what our machine learning
8:31,model needs we have what led up to it so three days before two days before one day before what
8:38,is our corresponding output because this is the input that's fed into the model and this is the
8:45,corresponding output it's just like a regression problem or any other supervised learning problem
8:50,you have an input and then you have an output you have another input you have another output this
8:57,is just the whole data frame which displays the inputs the outputs and the corresponding date for
